วันที่เริ่มตัด,วันที่ตัดเสร็จ,DTWH,Load Date,Order No,Grade,Cutter,BW,Size,Cap. (T/day),Brand,EO,CO,Material,Material Description,Prod.Qty (Ton),Prod.Qty (Class),RM/Pallet,Wrapper (m),Box+Lid,Pallet Size,MDF Size,จำนวน PL,จำนวน MDF,Material Note,DOM/EXP,Country,Sale Rep. Remark,,,
28-Dec-13 18:21,,,,,PPC70D,,,A-4,,IDEA MAX,,,,,280.000,,,55101,27229,,,268,268,,,,,,,
28-Dec-13 18:21,31-Dec-13 4:47,02-Jan-14,,1130244,PPC70D,4,70,A-4,115,IDEA MAX,END,36568,Z01PPC070 00001040,PPC 70D A-4 (IDM-LAY6),280,128440,480,55101,27229,38x49,38x49,268,268,,D,,,,,
31-Dec-13 4:47,04-Jan-14 4:47,,,,Converting Late,,,,4.00,,,,,,,,,,,,,,,,,,,,,
04-Jan-14 4:47,,,,,PPC80E,,,A-4,,IDEA WORK,,,,,293.376,,,50343,24878,,,368,368,,,,,,,
04-Jan-14 4:47,04-Jan-14 6:02,09-Jan-14,,1130245,PPC80E,4,80,A-4,130,IDEA WORK,206038860,END,Z01PPC080 00000985,PPC 80E A-4 (IDW-LAY3),6.75,2700,225,1158,572,38x45,38x45,12,12,,E,,มอก.เก่า,,,
04-Jan-14 6:02,04-Jan-14 7:42,09-Jan-14,,1130245,PPC80E,4,80,A-4,130,IDEA WORK,206038860,END,Z01PPC080 00000984,PPC 80E A-4 (IDW-LAY4),9,3600,300,1544,763,38x45,38x45,12,12,,E,,มอก.เก่า,,,
04-Jan-14 7:42,04-Jan-14 9:21,09-Jan-14,,1130245,PPC80E,4,80,A-4,130,IDEA WORK,206038872,END,Z01PPC080 00000984,PPC 80E A-4 (IDW-LAY4),9,3600,300,1544,763,38x45,38x45,12,12,,E,,มอก.เก่า,,,
04-Jan-14 9:21,04-Jan-14 13:43,09-Jan-14,,1130245,PPC80E,4,80,A-4,130,IDEA WORK,206038896,END,Z01PPC080 00001056,PPC 80E A-4 (IDW-AP-NP),23.625,9450,480,4054,2003,38x49,38x49,20,20,,E,,มอก.เก่า,,,
04-Jan-14 13:43,04-Jan-14 16:22,09-Jan-14,,1130245,PPC80E,4,80,A-4,130,IDEA WORK,206038897,END,Z01PPC080 00001056,PPC 80E A-4 (IDW-AP-NP),14.313,5725,480,2456,1214,38x49,38x49,12,12,,E,,มอก.เก่า,,,
04-Jan-14 16:22,04-Jan-14 17:36,09-Jan-14,,1130245,PPC80E,4,80,A-4,130,IDEA WORK,206038910,END,Z01PPC080 00000985,PPC 80E A-4 (IDW-LAY3),6.75,2700,225,1158,572,38x45,38x45,12,12,,E,,มอก.เก่า,,,
